origin,destination,flights,origin_lat,origin_lon,destination_lat,destination_lon
KIAH,LEBL,1,29.97757,-95.277961,41.298569,2.082809
KIAH,LEMD,1,29.97757,-95.277961,40.481779,-3.544511
KIAH,LLBG,1,29.97757,-95.277961,32.004093,34.891163
KIND,LEMD,1,39.74807,-86.307007,40.481779,-3.544511
KIND,LSZH,1,39.74807,-86.307007,47.463867,8.546883
KIWA,KPDX,1,33.267838,-111.814783,45.586756,-122.599903
KIWA,LEBL,1,33.267838,-111.814783,41.298569,2.082809
KIWA,LGAT,1,33.267838,-111.814783,36.249343,24.156072
KIWA,SBGR,1,33.267838,-111.814783,-23.491629,-46.672847
KJFK,LEPA,1,40.626115,-73.782432,39.772137,3.064087
KLAS,KLGA,1,36.098386,-115.157172,40.779353,-73.872351
