origin,destination,flights,origin_lat,origin_lon,destination_lat,destination_lon
EGSS,LSZH,8,51.883644,0.232735,47.463867,8.546883
KADS,KTPA,8,33.030116,-96.838653,27.986519,-82.541576
KAFW,KBNA,8,33.19249,-97.198187,36.097583,-86.690252
KAFW,KIAD,8,33.19249,-97.198187,38.938037,-77.436264
KATL,RJBB,8,33.631805,-84.436924,34.468627,135.305672
KBTF,LFPG,8,40.802456,-111.976364,48.99637,2.629346
KDAB,KIAD,8,29.075684,-81.267823,38.938037,-77.436264
KDAB,KIND,8,29.075684,-81.267823,39.74807,-86.307007
KIWA,KSLC,8,33.267838,-111.814783,40.62038,-111.994507
KSLC,KTEB,8,40.62038,-111.994507,40.850544,-74.064697
LEMD,VTBS,8,40.481779,-3.544511,13.69154,100.74
LLBG,ZBAA,8,32.004093,34.891163,41.074855,114.603008
LTFM,RJTT,8,41.174337,28.709148,35.558275,139.769206
LTFM,ZBAA,8,41.174337,28.709148,41.074855,114.603008
WMKK,YBBN,8,2.834885,101.664036,-27.36335,153.118087
CYVR,LTFM,7,49.182449,-123.140822,41.174337,28.709148
CYYC,KTPA,7,51.129936,-113.990373,27.986519,-82.541576
CYYZ,EGSS,7,43.665475,-79.611544,51.883644,0.232735
EBBR,KDFW,7,50.892426,4.495041,32.899747,-97.073037
EDDM,KTEB,7,48.606667,12.066527,40.850544,-74.064697
EGSS,EPWA,7,51.883644,0.232735,52.169499,20.963876
EHAM,KTEB,7,52.34265,4.710114,40.850544,-74.064697
KBTF,RKSI,7,40.802456,-111.976364,37.451248,126.437414
KDEN,KIWA,7,39.847028,-104.641541,33.267838,-111.814783
KPDX,KTEB,7,45.586756,-122.599903,40.850544,-74.064697
KTEB,LIMC,7,40.850544,-74.064697,45.590836,8.74438
KTEB,SBGR,7,40.850544,-74.064697,-23.491629,-46.672847
LGAT,ZBAA,7,36.249343,24.156072,41.074855,114.603008
SBGR,VABB,7,-23.491629,-46.672847,19.090235,72.853151
CYYC,KDAL,6,51.129936,-113.990373,32.834524,-96.666601
EBBR,KTEB,6,50.892426,4.495041,40.850544,-74.064697
